year,co2_main,co2_north,co2_south,co2_engelsby,co2_gluecksburg,foc_main,foc_north,foc_south,foc_engelsby,foc_gluecksburg,total_eua_cost
2005,703634,18,11,30,3,767098,5,13,191,4,
2006,748671,160,70,167,51,,,,,,3420
2007,650869,9,24,18,3,,,,,,37680
2008,668673,11,9,741,3,779796,7,14,123,4,78380
2009,619385,9,39,92,0,779796,7,14,123,4,438000
2010,694392,19,10,26,5,779796,7,14,123,4,909656
2011,601118,7,15,14,7,779796,7,14,123,4,2936750
2012,641623,17,5,322,5,779796,7,14,123,4,1854250
2013,614950,24,60,1109,83,256901,8,7,39,1,221193.75
2014,543876,13,6,138,9,218973,4,9,33,2,239330.75
2015,668226,9,6,78,9,184306,4,4,26,2,3138500.44
2016,606591,0,361,442,179,153310,6,5,21,1,3489494.23
2017,596836,0,20,619,39,132150,1,5,16,2,2794606.22
2018,601832,731,0,167,7,111675,0,0,0,0,3247900.88
2019,566625,59,0,565,10,91862,0,0,0,0,8278043.13
2020,518014,214,0,352,43,72760,0,0,0,0,10934586.03
2021,595375,260,0,535,6,49954,36,16,38,2,14346729.64
