year,flight_ops_total,commercial,passengers_total,passengers_commercial
2000,,,,
2001,24.104,,,
2002,,,,
2003,18.478,,,
2004,15.924,,,
2005,13.816,,,
2006,,,,
2007,,,,
2008,,,,
2009,14.848,3.126,,
2010,13.560,2.876,,
2011,12.882,3.034,25.324,9.464
2012,12.072,3.160,24.814,7.540
2013,12.964,4.552,24.978,10.030
2014,15.318,3.884,26.123,9.860
2015,14.294,4.342,23.835,9.772
2016,15.516,4.324,26.706,10.762
2017,14.510,3.810,28.027,11.700
2018,13.326,4.024,26.649,10.881
2019,14.244,3.414,27.920,9.164
2020,10.946,3.972,,
2021,11.006,4.076,21.001,10.630
2022,13.336,4.290,26.847,11.195
2023,14.874,3.642,31.352,10.046
2024,15.486,3.516,31.349,10.094
